V(eV),Current(arb.)
-2.000000000000000000e+00,-4.643087657240648400e-17
-1.949999999999999956e+00,-4.289210191923000387e-17
-1.899999999999999911e+00,-4.482081030197110050e-17
-1.850000000000000089e+00,-4.683958891584073095e-17
-1.800000000000000044e+00,-4.326844583155019441e-17
-1.750000000000000000e+00,-4.521353309380484449e-17
-1.699999999999999956e+00,-4.724938240684035652e-17
-1.649999999999999911e+00,-4.364561940232899929e-17
-1.600000000000000089e+00,-4.560688184054148075e-17
-1.550000000000000044e+00,-4.765926762519481719e-17
-1.500000000000000000e+00,-4.402178581280208549e-17
-1.449999999999999956e+00,-4.599753215900237131e-17
-1.399999999999999911e+00,-4.806263493221287906e-17
-1.350000000000000089e+00,-4.438488510974893130e-17
-1.299999999999999822e+00,-4.636332519571616464e-17
-1.250000000000000000e+00,-4.841403315910075137e-17
-1.199999999999999956e+00,-4.464914685482834130e-17
-1.149999999999999911e+00,-4.654011452409279888e-17
-1.100000000000000089e+00,-4.835873770381573414e-17
-1.049999999999999822e+00,-4.411164590104376367e-17
-1.000000000000000000e+00,-4.510982031843311178e-17
-9.499999999999999556e-01,-4.462419526705948049e-17
-8.999999999999999112e-01,-3.587891857381828978e-17
-8.499999999999998668e-01,-2.722231583629695800e-17
-7.999999999999998224e-01,0.000000000000000000e+00
-7.500000000000000000e-01,6.473462199321669825e-17
-6.999999999999999556e-01,2.055486187087235527e-16
-6.499999999999999112e-01,6.388779695416000382e-16
-5.999999999999998668e-01,1.652804562945639282e-15
-5.499999999999998224e-01,4.313989829440635048e-15
-5.000000000000000000e-01,1.370542633296406340e-14
-4.499999999999999556e-01,3.921865315386581623e-14
-3.999999999999999112e-01,1.190846670852352799e-13
-3.499999999999998668e-01,4.711515413750099197e-13
-2.999999999999998224e-01,1.698858239136445258e-12
-2.500000000000000000e-01,6.830962920599006430e-12
-1.999999999999999556e-01,4.080892204213830958e-11
-1.499999999999999112e-01,2.354935957561384836e-10
-9.999999999999986677e-02,1.809470954992281963e-09
-4.999999999999982236e-02,3.552572109676386303e-08
0.000000000000000000e+00,2.241657776731780353e-06
5.000000000000026645e-02,3.521534378615081879e-04
1.000000000000000888e-01,1.904422919399346385e-03
1.499999999999999112e-01,4.522220851717257024e-03
2.000000000000001776e-01,8.479389721039983299e-03
2.500000000000000000e-01,1.460777725202808477e-02
3.000000000000002665e-01,2.106784871040890197e-02
3.500000000000000888e-01,2.863109960338890841e-02
4.000000000000003553e-01,3.875792783621517107e-02
4.500000000000001776e-01,4.853442565130626496e-02
5.000000000000000000e-01,5.909065936150158238e-02
5.500000000000002665e-01,7.222804428265125476e-02
6.000000000000000888e-01,8.444182790670545780e-02
6.500000000000003553e-01,9.743900871437349842e-02
7.000000000000001776e-01,1.133194841442360656e-01
7.500000000000000000e-01,1.276713101970003705e-01
8.000000000000002665e-01,1.425156304762738024e-01
8.500000000000000888e-01,1.602836290399409780e-01
9.000000000000003553e-01,1.762343577317985743e-01
9.500000000000001776e-01,1.927145515503118633e-01
1.000000000000000000e+00,2.123468479351627858e-01
1.050000000000000266e+00,2.297806426109193778e-01
1.100000000000000089e+00,2.475452413828592713e-01
1.150000000000000355e+00,2.684350035249319921e-01
1.200000000000000178e+00,2.868703373974191839e-01
1.250000000000000000e+00,3.056386570150297355e-01
1.300000000000000266e+00,3.277206082542517551e-01
1.350000000000000089e+00,3.471858006560358811e-01
1.400000000000000355e+00,3.669048041595650012e-01
1.450000000000000178e+00,3.899144710327897556e-01
1.500000000000000000e+00,4.100419037487899043e-01
1.550000000000000266e+00,4.303324732668219466e-01
1.600000000000000089e+00,4.539614721584523394e-01
1.650000000000000355e+00,4.746439934240891945e-01
1.700000000000000178e+00,4.955035496578985565e-01
1.750000000000000000e+00,5.197593020201011216e-01
1.800000000000000266e+00,5.409133696944674607e-01
1.850000000000000089e+00,5.621426600935861551e-01
1.900000000000000355e+00,5.866958423711123860e-01
1.950000000000000178e+00,6.080321363100826826e-01
2.000000000000000000e+00,6.294113151758302660e-01
