E(eV),T(E)
-6.240601503759398483e+00,3.413896222490440211e-13
-6.190476190476190688e+00,5.150464107057636244e-13
-6.140350877192982892e+00,8.573124917972821747e-13
-6.090225563909774209e+00,1.714452073272680896e-12
-6.040100250626566414e+00,5.549077438148397069e-12
-5.989974937343358619e+00,2.102796583688564327e-02
-5.939849624060150823e+00,7.978699650636759955e-02
-5.889724310776943028e+00,1.081972891750391103e-01
-5.839598997493734345e+00,1.277318006331998879e-01
-5.789473684210526550e+00,1.449261028164285647e-01
-5.739348370927318754e+00,1.625103486241574469e-01
-5.689223057644110071e+00,1.819963933953861468e-01
-5.639097744360902276e+00,2.044864665316485086e-01
-5.588972431077694480e+00,2.309822964334624640e-01
-5.538847117794486685e+00,2.625201674876807556e-01
-5.488721804511278890e+00,3.002259379094058822e-01
-5.438596491228070207e+00,3.453092101021724147e-01
-5.388471177944862411e+00,3.989800497187705464e-01
-5.338345864661654616e+00,4.622459115780526706e-01
-5.288220551378445933e+00,5.355296583048937409e-01
-5.238095238095238138e+00,6.180628067735112197e-01
-5.187969924812030342e+00,7.070985742543574037e-01
-5.137844611528822547e+00,7.972089584300996457e-01
-5.087719298245614752e+00,8.802369849760129927e-01
-5.037593984962406068e+00,9.465740643744008365e-01
-4.987468671679198273e+00,9.878492920125812038e-01
-4.937343358395990478e+00,9.998917800949984613e-01
-4.887218045112781795e+00,9.841251754186907119e-01
-4.837092731829573999e+00,9.465146403751160120e-01
-4.786967418546366204e+00,8.949924448496924256e-01
-4.736842105263158409e+00,8.370314688461125696e-01
-4.686716791979950614e+00,7.783293343150411436e-01
-4.636591478696741930e+00,7.225655650779685413e-01
-4.586466165413534135e+00,6.717489513121933653e-01
-4.536340852130326340e+00,6.267276655548225106e-01
-4.486215538847117656e+00,5.876400670239454449e-01
-4.436090225563909861e+00,5.542402864015212316e-01
-4.385964912280702066e+00,5.261073190575412672e-01
-4.335839598997494271e+00,5.027683827472420042e-01
-4.285714285714286476e+00,4.837662711674362015e-01
-4.235588972431077792e+00,4.686928298300080953e-01
-4.185463659147869997e+00,4.572031602806403416e-01
