V(eV),Current(arb.)
-2.000000000000000000e+00,-4.775554898576438616e-17
-1.949999999999999956e+00,-4.411078783549910119e-17
-1.899999999999999911e+00,-4.610079207423216993e-17
-1.850000000000000089e+00,-4.818405773852090540e-17
-1.800000000000000044e+00,-4.450531308212118271e-17
-1.750000000000000000e+00,-4.651259569542300980e-17
-1.699999999999999956e+00,-4.861387747165066331e-17
-1.649999999999999911e+00,-4.490087742148393053e-17
-1.600000000000000089e+00,-4.692524273109646839e-17
-1.550000000000000044e+00,-4.904400952538320772e-17
-1.500000000000000000e+00,-4.529561964099436688e-17
-1.449999999999999956e+00,-4.733535819660634023e-17
-1.399999999999999911e+00,-4.946773311373016138e-17
-1.350000000000000089e+00,-4.567726305761744598e-17
-1.299999999999999822e+00,-4.772036473257629880e-17
-1.250000000000000000e+00,-4.983869271122951387e-17
-1.199999999999999956e+00,-4.595825384553043213e-17
-1.149999999999999911e+00,-4.791255243445478733e-17
-1.100000000000000089e+00,-4.979406295748651423e-17
-1.049999999999999822e+00,-4.541886845525213194e-17
-1.000000000000000000e+00,-4.645832314371451163e-17
-9.499999999999999556e-01,-4.597456423598959581e-17
-8.999999999999999112e-01,-3.697332667651147063e-17
-8.499999999999998668e-01,-2.807033112022140614e-17
-7.999999999999998224e-01,0.000000000000000000e+00
-7.500000000000000000e-01,6.689195468884995683e-17
-6.999999999999999556e-01,2.127426002039355392e-16
-6.499999999999999112e-01,6.628228063285404492e-16
-5.999999999999998668e-01,1.719171729581032396e-15
-5.499999999999998224e-01,4.501472373006589240e-15
-5.000000000000000000e-01,1.436548341719632075e-14
-4.499999999999999556e-01,4.130588618598598566e-14
-3.999999999999999112e-01,1.261744685891035878e-13
-3.499999999999998668e-01,5.036996069443536414e-13
-2.999999999999998224e-01,1.835296527505215519e-12
-2.500000000000000000e-01,7.487016549734991776e-12
-1.999999999999999556e-01,4.588746028328298376e-11
-1.499999999999999112e-01,2.749043619000418142e-10
-9.999999999999986677e-02,2.269121778553955720e-09
-4.999999999999982236e-02,5.635677179834498667e-08
0.000000000000000000e+00,1.491909128825525398e-05
5.000000000000026645e-02,4.413027557406883593e-03
1.000000000000000888e-01,1.712955498703587487e-02
1.499999999999999112e-01,3.198797867450525051e-02
2.000000000000001776e-01,5.006624373964012331e-02
2.500000000000000000e-01,7.392695897973641794e-02
3.000000000000002665e-01,9.639566500372456770e-02
3.500000000000000888e-01,1.205546539827203473e-01
4.000000000000003553e-01,1.505413934249571484e-01
4.500000000000001776e-01,1.778310207086349903e-01
5.000000000000000000e-01,2.060961490953895081e-01
5.500000000000002665e-01,2.399902097217505303e-01
6.000000000000000888e-01,2.703590668899089611e-01
6.500000000000003553e-01,3.016254401028696797e-01
7.000000000000001776e-01,3.387780529399392893e-01
7.500000000000000000e-01,3.716480448218310029e-01
8.000000000000002665e-01,4.050609947623198259e-01
8.500000000000000888e-01,4.443897740196471324e-01
9.000000000000003553e-01,4.790887958735099983e-01
9.500000000000001776e-01,5.143205893533875361e-01
1.000000000000000000e+00,5.556587252472562355e-01
1.050000000000000266e+00,5.919597123894476676e-01
1.100000000000000089e+00,6.285961109826814219e-01
1.150000000000000355e+00,6.713320978367671721e-01
1.200000000000000178e+00,7.087688964095493205e-01
1.250000000000000000e+00,7.465186526383413845e-01
1.300000000000000266e+00,7.905221114780859315e-01
1.350000000000000089e+00,8.290421213207317397e-01
1.400000000000000355e+00,8.677910580282179875e-01
1.450000000000000178e+00,9.127897594344478449e-01
1.500000000000000000e+00,9.520685455122790408e-01
1.550000000000000266e+00,9.914964146691289670e-01
1.600000000000000089e+00,1.037222888465265669e+00
1.650000000000000355e+00,1.077140919521647255e+00
1.700000000000000178e+00,1.117198235525093120e+00
1.750000000000000000e+00,1.163600931135731598e+00
1.800000000000000266e+00,1.204051547933000066e+00
1.850000000000000089e+00,1.244557946530731485e+00
1.900000000000000355e+00,1.291371374329609356e+00
1.950000000000000178e+00,1.332125969384032604e+00
2.000000000000000000e+00,1.372901232871423849e+00
